,threshold,class,Recall,Precision
0,0,overall,59.68,45.49
1,0,0,83.33,50.0
2,0,1,62.5,31.25
3,0,2,62.5,71.43
4,0,3,55.56,26.32
5,0,4,63.16,54.55
6,0,5,50.0,41.67
7,0,6,56.25,37.5
8,0,7,43.75,30.43
9,0,8,60.98,49.02
10,0,9,60.53,57.5
11,0,10,80.65,55.56
12,0,11,82.35,73.68
13,0,12,14.29,12.5
14,10,overall,59.68,47.65
15,10,0,83.33,50.0
16,10,1,62.5,38.46
17,10,2,62.5,71.43
18,10,3,55.56,26.32
19,10,4,63.16,54.55
20,10,5,50.0,43.48
21,10,6,56.25,42.86
22,10,7,43.75,30.43
23,10,8,60.98,52.08
24,10,9,60.53,60.53
25,10,10,80.65,56.82
26,10,11,82.35,80.0
27,10,12,14.29,12.5
28,20,overall,54.39,57.49
29,20,0,66.67,44.44
30,20,1,50.0,57.14
31,20,2,62.5,83.33
32,20,3,44.44,40.0
33,20,4,63.16,75.0
34,20,5,50.0,58.82
35,20,6,56.25,60.0
36,20,7,43.75,36.84
37,20,8,58.54,66.67
38,20,9,60.53,71.88
39,20,10,80.65,67.57
40,20,11,70.59,85.71
41,20,12,0.0,0.0
42,30,overall,49.88,73.92
43,30,0,66.67,57.14
44,30,1,37.5,75.0
45,30,2,62.5,100.0
46,30,3,44.44,57.14
47,30,4,63.16,85.71
48,30,5,45.0,81.82
49,30,6,50.0,61.54
50,30,7,37.5,40.0
51,30,8,53.66,70.97
52,30,9,55.26,80.77
53,30,10,70.97,81.48
54,30,11,61.76,95.45
55,30,12,0.0,
56,40,overall,39.36,83.91
57,40,0,50.0,60.0
58,40,1,37.5,100.0
59,40,2,37.5,100.0
60,40,3,44.44,80.0
61,40,4,52.63,90.91
62,40,5,45.0,81.82
63,40,6,37.5,85.71
64,40,7,31.25,55.56
65,40,8,36.59,75.0
66,40,9,50.0,90.48
67,40,10,45.16,87.5
68,40,11,44.12,100.0
69,40,12,0.0,
70,50,overall,29.41,88.34
71,50,0,50.0,75.0
72,50,1,25.0,100.0
73,50,2,25.0,100.0
74,50,3,44.44,80.0
75,50,4,42.11,100.0
76,50,5,20.0,80.0
77,50,6,25.0,80.0
78,50,7,25.0,66.67
79,50,8,24.39,100.0
80,50,9,36.84,87.5
81,50,10,32.26,90.91
82,50,11,32.35,100.0
83,50,12,0.0,
84,60,overall,16.61,90.05
85,60,0,16.67,100.0
86,60,1,12.5,100.0
87,60,2,12.5,100.0
88,60,3,44.44,100.0
89,60,4,21.05,100.0
90,60,5,10.0,66.67
91,60,6,12.5,66.67
92,60,7,18.75,75.0
93,60,8,9.76,100.0
94,60,9,21.05,88.89
95,60,10,16.13,83.33
96,60,11,20.59,100.0
97,60,12,0.0,
98,70,overall,8.13,95.0
99,70,0,16.67,100.0
100,70,1,0.0,
101,70,2,12.5,100.0
102,70,3,22.22,100.0
103,70,4,5.26,100.0
104,70,5,5.0,50.0
105,70,6,0.0,
106,70,7,12.5,100.0
107,70,8,4.88,100.0
108,70,9,5.26,100.0
109,70,10,9.68,100.0
110,70,11,11.76,100.0
111,70,12,0.0,
112,80,overall,1.72,100.0
113,80,0,0.0,
114,80,1,0.0,
115,80,2,0.0,
116,80,3,11.11,100.0
117,80,4,0.0,
118,80,5,0.0,
119,80,6,0.0,
120,80,7,0.0,
121,80,8,2.44,100.0
122,80,9,2.63,100.0
123,80,10,3.23,100.0
124,80,11,2.94,100.0
125,80,12,0.0,
126,90,overall,0.0,
127,90,0,0.0,
128,90,1,0.0,
129,90,2,0.0,
130,90,3,0.0,
131,90,4,0.0,
132,90,5,0.0,
133,90,6,0.0,
134,90,7,0.0,
135,90,8,0.0,
136,90,9,0.0,
137,90,10,0.0,
138,90,11,0.0,
139,90,12,0.0,
140,100,overall,0.0,
141,100,0,0.0,
142,100,1,0.0,
143,100,2,0.0,
144,100,3,0.0,
145,100,4,0.0,
146,100,5,0.0,
147,100,6,0.0,
148,100,7,0.0,
149,100,8,0.0,
150,100,9,0.0,
151,100,10,0.0,
152,100,11,0.0,
153,100,12,0.0,
