name,class_names,Class IoU,Class Acc
Room segmentation,Background,87.22,93.7
Room segmentation,Outdoor,64.18,77.76
Room segmentation,Wall,72.16,83.3
Room segmentation,Kitchen,64.87,79.98
Room segmentation,Living Room,66.44,82.7
Room segmentation,Bedroom,73.97,86.34
Room segmentation,Bath,60.44,73.62
Room segmentation,Hallway,55.46,71.36
Room segmentation,Railing,22.92,27.44
Room segmentation,Storage,44.74,54.01
Room segmentation,Garage,33.66,47.3
Room segmentation,Other rooms,41.3,57.2
Room polygon segmentation,Background,79.09,92.91
Room polygon segmentation,Outdoor,48.22,60.54
Room polygon segmentation,Wall,49.82,54.96
Room polygon segmentation,Kitchen,58.3,73.98
Room polygon segmentation,Living Room,62.2,81.32
Room polygon segmentation,Bedroom,68.8,83.61
Room polygon segmentation,Bath,56.71,69.92
Room polygon segmentation,Hallway,53.7,68.45
Room polygon segmentation,Railing,6.4,6.76
Room polygon segmentation,Storage,40.49,48.93
Room polygon segmentation,Garage,30.01,43.59
Room polygon segmentation,Other rooms,39.84,55.68
Icon segmentation,Empty,97.5,99.37
Icon segmentation,Window,65.4,71.35
Icon segmentation,Door,51.98,57.02
Icon segmentation,Closet,68.39,76.17
Icon segmentation,Electr. Appl.,65.19,74.02
Icon segmentation,Toilet,61.49,66.38
Icon segmentation,Sink,54.72,64.3
Icon segmentation,Sauna bench,67.04,73.42
Icon segmentation,Fire Place,35.63,39.68
Icon segmentation,Bathtub,26.34,29.57
Icon segmentation,Chimney,10.77,11.22
Icon polygon segmentation,Empty,96.63,99.4
Icon polygon segmentation,Window,42.15,46.19
Icon polygon segmentation,Door,43.31,49.96
Icon polygon segmentation,Closet,64.16,70.23
Icon polygon segmentation,Electr. Appl.,60.65,68.72
Icon polygon segmentation,Toilet,57.24,62.13
Icon polygon segmentation,Sink,46.26,53.96
Icon polygon segmentation,Sauna bench,48.81,50.56
Icon polygon segmentation,Fire Place,3.17,3.19
Icon polygon segmentation,Bathtub,0.0,0.0
Icon polygon segmentation,Chimney,2.99,3.0
